replay_num,replay_link                                                                              ,player_p1         ,player_p2         ,switch_p1a,switch_p2a,winner,turns
2415      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800222                               ,stuckkkk          ,TreinerOrenge     ,Metagross ,Zapdos    ,2     ,19
2420      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799875                               ,reptikrook        ,Yoink 0           ,Zapdos    ,Salamence ,1     ,38
2419      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799370                               ,LE DZ ORIGINEL    ,UponLink          ,Milotic   ,Regirock  ,1     ,82
2421      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799884                               ,reptikrook        ,Yoink 0           ,Hariyama  ,Tyranitar ,2     ,44
2423      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799606                               ,MintChocolateGuy  ,jozin457          ,Zapdos    ,Zapdos    ,2     ,14
2422      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799878                               ,Yoink 0           ,reptikrook        ,Snorlax   ,Regice    ,1     ,54
2425      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799617                               ,jozin457          ,MintChocolateGuy  ,Zapdos    ,Heracross ,1     ,21
2427      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799809                               ,dustyfans         ,simonsimonf       ,Breloom   ,Wailord   ,2     ,20
2424      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799608                               ,jozin457          ,MintChocolateGuy  ,Snorlax   ,Suicune   ,2     ,47
2426      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799808                               ,dustyfans         ,simonsimonf       ,Breloom   ,Metagross ,2     ,11
2429      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800447                               ,BRstelli          ,Svejk97           ,Tyranitar ,Venusaur  ,2     ,23
2428      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800399                               ,BRstelli          ,Svejk97           ,Tyranitar ,Tyranitar ,2     ,133
2430      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799178                               ,NekuYagokoro      ,Thebadger1230     ,Tyranitar ,Blaziken  ,2     ,27
2432      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799285                               ,the band pet      ,Strawbbz          ,Metagross ,Tyranitar ,2     ,26
2433      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799288                               ,the band pet      ,Strawbbz          ,Tyranitar ,Wailord   ,2     ,16
2436      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800353                               ,loleinsmaragd     ,Emerald_Harrold   ,Slaking   ,Zapdos    ,1     ,30
2431      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799182                               ,NekuYagokoro      ,Thebadger1230     ,Salamence ,Hariyama  ,2     ,47
2435      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799257                               ,LTG               ,Please ban rachi  ,Forretress,Tyranitar ,2     ,43
